variant,K,clock_ns,timing_viol,bin_II,cosim_total_cyc,cyc_per_byte,LUT,LUT_pct,FF,BRAM,DSP
ctxreg,1,6.0,0,1,73578,14.34,11243,9%,4936,13,0
ctxreg,2,6.0,0,1,46906,9.14,19946,17%,8089,16,0
ctxreg,4,6.0,0,1,35292,6.88,35530,30%,13609,22,0
ctxreg,8,6.0,0,1,32694,6.37,67349,57%,24792,42,0
ctxreg,16,6.0,0,1,39505,7.70,131000,111%,47181,82,2
ctxram,1,6.0,0,1,75120,14.64,8049,6%,3377,13,0
ctxram,2,6.0,0,1,48448,9.44,13558,11%,4971,16,0
ctxram,4,6.0,0,1,36834,7.18,22754,19%,7373,22,0
ctxram,8,6.0,0,1,34236,6.67,41797,35%,12320,42,0
ctxram,16,6.0,0,1,41047,8.00,79896,68%,22237,82,2
