total,block,nblk,ratio,kernel_us,dma_us,setup_us,mss_kernel,mss_dma,mss_e2e,lossless
4096,4096,1,41.1865,126.955,147.032,30200.1,32.2635,27.8579,0.134972,YES
16384,4096,4,41.2048,510.393,590.654,29817.4,32.1008,27.7387,0.538805,YES
65536,4096,16,41.2079,2111.18,2436.89,29741.2,31.0423,26.8933,2.03667,YES
262144,4096,64,41.2106,8368.94,9663.98,30318,31.3234,27.1259,6.55655,YES
1048576,4096,256,41.2108,34011.2,39438.3,29845,30.8303,26.5877,15.1346,YES
4194304,4096,1024,41.2109,136194,158311,30097.9,30.7966,26.4941,22.2617,YES
16777216,4096,4096,41.2109,543081,632216,30182.2,30.8927,26.5372,25.328,YES
4096,65536,1,41.1865,129.13,149.269,29791.3,31.7199,27.4404,0.136804,YES
16384,65536,1,38.5071,348.547,371.496,29818.7,47.0066,44.1028,0.542692,YES
65536,65536,1,37.8357,1232.34,1265.42,29765.2,53.1803,51.79,2.11198,YES
262144,65536,4,37.8365,4914.74,5048.7,29579.9,53.3383,51.9231,7.57015,YES
1048576,65536,16,37.8504,19701.4,20409.4,29773.8,53.2234,51.3772,20.895,YES
4194304,65536,64,37.852,78784.1,81938.6,29893.8,53.2379,51.1884,37.5053,YES
16777216,65536,256,37.852,315210,327577,29946.3,53.2256,51.2161,46.9262,YES
