sync,total,block,nblk,ratio,kernel_us,h2d_us,d2h_us,dma_us,setup_us,mss_kernel,mss_dma,mss_e2e,lossless
sized,4096,4096,1,41.1865,129.74,3.42,5.4466,138.607,31747.5,31.5708,29.5513,0.128457,YES
sized,16384,4096,4,41.2048,502.667,12.9396,20.8162,536.422,30376.1,32.5942,30.5431,0.530013,YES
sized,65536,4096,16,41.2079,2119.71,52.0203,86.8662,2258.6,29786.4,30.9174,29.0162,2.04513,YES
sized,262144,4096,64,41.2106,8359.34,209.506,338.4,8907.24,29337.3,31.3594,29.4304,6.85442,YES
sized,1048576,4096,256,41.2108,33808.5,1108.77,1401.56,36318.8,30038.6,31.0152,28.8714,15.8019,YES
sized,4194304,4096,1024,41.2109,134099,4850.5,5484.43,144434,29805.2,31.2777,29.0396,24.0721,YES
sized,16777216,4096,4096,41.2109,539246,20421.3,22172.3,581840,30057.8,31.1124,28.8348,27.4183,YES
sized,4096,65536,1,41.1865,130.246,3.325,5.3095,138.88,30814,31.4482,29.493,0.13233,YES
sized,16384,65536,1,38.5071,346.608,6.6955,5.63655,358.94,29786.5,47.2696,45.6456,0.543499,YES
sized,65536,65536,1,37.8357,1229.89,19.6506,6.924,1256.47,29881.5,53.2859,52.1589,2.1047,YES
sized,262144,65536,4,37.8365,4911.96,80.9397,27.0932,5020,29706,53.3685,52.22,7.54894,YES
sized,1048576,65536,16,37.8504,19661.1,492.752,110.887,20264.7,29783.8,53.3325,51.7439,20.9512,YES
sized,4194304,65536,64,37.852,78679.3,2338.76,437.796,81455.8,30000.2,53.3089,51.4918,37.6319,YES
sized,16777216,65536,256,37.852,314672,10678,1735.22,327085,30015.5,53.3165,51.2931,46.9817,YES
whole,4096,4096,1,41.1865,127.044,7.0156,13.3471,147.407,30306.7,32.2408,27.7871,0.134497,YES
whole,16384,4096,4,41.2048,521.145,27.8537,51.9309,600.929,30130.6,31.4385,27.2644,0.533133,YES
whole,65536,4096,16,41.2079,2127.83,110.941,210.912,2449.68,29836.6,30.7995,26.7528,2.02984,YES
whole,262144,4096,64,41.2106,8483.96,451.37,844.14,9779.47,30190.7,30.8988,26.8055,6.55849,YES
whole,1048576,4096,256,41.2108,34018.8,2000.39,3361.73,39380.9,29835.1,30.8234,26.6265,15.1493,YES
whole,4194304,4096,1024,41.2109,137090,8655.95,13508.3,159254,29947.3,30.5952,26.3372,22.1684,YES
whole,16777216,4096,4096,41.2109,542516,35216.3,54011,631743,29873.2,30.9248,26.557,25.3579,YES
whole,4096,65536,1,41.1865,133.364,7.14105,13.1952,153.701,29485.6,30.7128,26.6492,0.138195,YES
whole,16384,65536,1,38.5071,351.847,9.6131,13.2266,374.686,29937.5,46.5658,43.7273,0.540509,YES
whole,65536,65536,1,37.8357,1231.75,19.8781,13.4802,1265.11,29948.2,53.2055,51.8026,2.09962,YES
whole,262144,65536,4,37.8365,4914.01,81.5756,52.9565,5048.54,29537.4,53.3463,51.9247,7.5795,YES
whole,1048576,65536,16,37.8504,19676.9,482.51,217.169,20376.5,29942.6,53.2898,51.4599,20.8385,YES
whole,4194304,65536,64,37.852,78634.5,2529.74,853.441,82017.7,29916.4,53.3392,51.139,37.4712,YES
whole,16777216,65536,256,37.852,315045,10130.8,3427.47,328604,29865.9,53.2533,51.0561,46.8024,YES
